Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0805_2012Metric",96.977200,-144.387600,-90.000000,bottom
"C10","1uF","C_0805_2012Metric",127.965200,-98.540600,90.000000,bottom
"C11","0.01uF","C_0805_2012Metric",123.393200,-100.826600,0.000000,bottom
"C12","1uF","C_0805_2012Metric",119.202200,-96.635600,180.000000,bottom
"C13","220uF","C_1206_3216Metric",130.251200,-105.652600,-90.000000,bottom
"C14","220uF","C_1206_3216Metric",126.314200,-105.652600,-90.000000,bottom
"C15","220uF","C_1206_3216Metric",122.377200,-105.652600,-90.000000,bottom
"C17","0.1uF","C_0805_2012Metric",121.742200,-123.686600,180.000000,bottom
"C18","10uF","C_0805_2012Metric",121.742200,-127.204600,180.000000,bottom
"C19","0.1uF","C_0805_2012Metric",125.171200,-134.608600,90.000000,bottom
"D1","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",104.143200,-122.470600,-45.000000,bottom
"D2","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",110.893200,-122.470600,-45.000000,bottom
"D3","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",104.143200,-129.220600,-45.000000,bottom
"D4","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",110.893200,-129.220600,-45.000000,bottom
"Q1","MMBT4403LT1G","SOT-23-3",97.932200,-139.239600,90.000000,bottom
"Q2","MMBT4401LT1G","SOT-23-3",104.282200,-139.273600,90.000000,bottom
"Q3","MMBT4403LT1G","SOT-23-3",110.632200,-139.273600,90.000000,bottom
"Q4","MMBT4401LT1G","SOT-23-3",116.855200,-139.273600,90.000000,bottom
"Q5","MMBT4403LT1G","SOT-23-3",110.693200,-110.063600,-90.000000,bottom
"Q6","MMBT4401LT1G","SOT-23-3",104.343200,-110.063600,-90.000000,bottom
"Q13","MMBT4403LT1G","SOT-23-3",91.516200,-114.669600,0.000000,bottom
"Q14","MMBT4401LT1G","SOT-23-3",91.482200,-121.019600,0.000000,bottom
"Q17","MMBT4403LT1G","SOT-23-3",91.516200,-127.115600,0.000000,bottom
"Q18","MMBT4401LT1G","SOT-23-3",91.516200,-133.465600,0.000000,bottom
"Q21","Q_NMOS_DGS_AO3400A","SOT-23-3",90.601800,-103.188800,0.000000,bottom
"Q22","SL3401A","SOT-23-3",91.140700,-97.463600,180.000000,bottom
"R1","470","R_0805_2012Metric",101.041200,-142.990600,-90.000000,bottom
"R2","470","R_0805_2012Metric",105.232200,-142.990600,-90.000000,bottom
"R3","470","R_0805_2012Metric",111.582200,-142.990600,-90.000000,bottom
"R4","470","R_0805_2012Metric",117.805200,-142.990600,-90.000000,bottom
"R5","470","R_0805_2012Metric",109.677200,-106.287600,90.000000,bottom
"R6","470","R_0805_2012Metric",103.327200,-106.264100,90.000000,bottom
"R7","8R2-5%","R_0805_2012Metric",94.564200,-130.290600,180.000000,bottom
"R13","470","R_0805_2012Metric",87.706200,-115.685600,180.000000,bottom
"R14","470","R_0805_2012Metric",87.706200,-122.035600,180.000000,bottom
"R17","470","R_0805_2012Metric",87.706200,-128.131600,180.000000,bottom
"R18","470","R_0805_2012Metric",87.706200,-134.481600,180.000000,bottom
"R21","8R2-5%","R_0805_2012Metric",107.518200,-113.018600,-90.000000,bottom
"R27","4K7","R_0805_2012Metric",90.500200,-106.236800,0.000000,bottom
"R28","470","R_0805_2012Metric",85.928200,-104.357200,0.000000,bottom
"R30","1K2","R_0805_2012Metric",108.686600,-146.521200,0.000000,bottom
"R31","1K2","R_0805_2012Metric",101.777800,-147.384800,0.000000,bottom
"R32","0","R_0805_2012Metric",112.141000,-146.521200,180.000000,bottom
"R33","0","R_0805_2012Metric",105.232200,-147.384800,0.000000,bottom
"R44","4K7","R_0805_2012Metric",95.453200,-96.508600,0.000000,bottom
"R47","1K5-1%","R_0805_2012Metric",126.441200,-113.780600,0.000000,bottom
"R48","1K8-1%","R_0805_2012Metric",122.758200,-117.082600,0.000000,bottom
"R49","11-1%","R_0805_2012Metric",126.441200,-117.082600,0.000000,bottom
"R50","1K5-1%","R_0805_2012Metric",130.124200,-117.082600,0.000000,bottom
"R51","1K8-1%","R_0805_2012Metric",122.758200,-120.384600,0.000000,bottom
"R52","11-1%","R_0805_2012Metric",126.441200,-120.384600,0.000000,bottom
"R53","1K5-1%","R_0805_2012Metric",130.124200,-120.384600,0.000000,bottom
"R54","1K2","R_0805_2012Metric",121.488200,-137.529600,0.000000,bottom
"R55","1K2","R_0805_2012Metric",121.488200,-140.958600,0.000000,bottom
"R60","120","R_0805_2012Metric",106.959400,-125.337600,135.000000,bottom
"R61","120","R_0805_2012Metric",113.665000,-125.388400,135.000000,bottom
"R62","120","R_0805_2012Metric",106.959400,-132.094000,135.000000,bottom
"R63","120","R_0805_2012Metric",113.715800,-132.094000,135.000000,bottom
"U7","SSP9193-33M5R","SOT-23-5",123.774200,-97.590600,180.000000,bottom
"U9","LM393","SOIC-8_W3.9mm",127.711200,-125.591600,-90.000000,bottom
"U10","SN74HC02DR","SOIC-14_3.9x8.7mm_P1.27mm",127.646200,-141.085600,180.000000,bottom
"U11","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",90.544200,-143.117600,180.000000,bottom
"X9","QWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",128.085600,-152.260200,-90.000000,bottom
