Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0805_2012Metric",90.500200,-149.975600,180.000000,bottom
"C10","1uF","C_0805_2012Metric",115.392200,-151.880600,-90.000000,bottom
"C11","0.01uF","C_0805_2012Metric",123.393200,-151.880600,0.000000,bottom
"C12","1uF","C_0805_2012Metric",123.393200,-148.705600,0.000000,bottom
"C13","220uF","C_1206_3216Metric",119.837200,-141.085600,0.000000,bottom
"C14","220uF","C_1206_3216Metric",119.837200,-143.625600,0.000000,bottom
"C15","220uF","C_1206_3216Metric",119.837200,-146.165600,0.000000,bottom
"C17","0.1uF","C_0805_2012Metric",120.091200,-107.938600,90.000000,bottom
"C18","10uF","C_0805_2012Metric",117.932200,-107.938600,90.000000,bottom
"C19","0.1uF","C_0805_2012Metric",90.754200,-113.272600,-90.000000,bottom
"D1","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",104.143200,-122.470600,-45.000000,bottom
"D2","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",110.893200,-122.470600,-45.000000,bottom
"D3","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",104.143200,-129.220600,-45.000000,bottom
"D4","LED","LED_1206_3216Metric_RevMnt_Hole1.8x2.4mm_custom",110.893200,-129.220600,-45.000000,bottom
"J1","V+ALT","PinSocket_1x01_P1.27mm_Vertical",122.453400,-155.309600,169.000000,bottom
"Q1","MMBT4403LT1G","SOT-23-3",100.914200,-137.597600,90.000000,bottom
"Q2","MMBT4401LT1G","SOT-23-3",105.298200,-137.563600,90.000000,bottom
"Q3","MMBT4403LT1G","SOT-23-3",109.743200,-137.563600,90.000000,bottom
"Q4","MMBT4401LT1G","SOT-23-3",114.188200,-137.563600,90.000000,bottom
"Q5","MMBT4403LT1G","SOT-23-3",109.738200,-113.018600,-90.000000,bottom
"Q6","MMBT4401LT1G","SOT-23-3",105.359200,-113.018600,-90.000000,bottom
"Q13","MMBT4403LT1G","SOT-23-3",95.707200,-119.114600,0.000000,bottom
"Q14","MMBT4401LT1G","SOT-23-3",95.673200,-123.559600,0.000000,bottom
"Q17","MMBT4403LT1G","SOT-23-3",95.580200,-128.131600,0.000000,bottom
"Q18","MMBT4401LT1G","SOT-23-3",95.614200,-132.642600,0.000000,bottom
"Q21","Q_NMOS_DGS_AO3400A","SOT-23-3",123.266200,-137.783600,180.000000,bottom
"R1","470","R_0805_2012Metric",101.803200,-141.280600,-90.000000,bottom
"R2","470","R_0805_2012Metric",106.248200,-141.280600,-90.000000,bottom
"R3","470","R_0805_2012Metric",110.693200,-141.280600,-90.000000,bottom
"R4","470","R_0805_2012Metric",115.138200,-141.280600,-90.000000,bottom
"R5","470","R_0805_2012Metric",108.788200,-109.242600,90.000000,bottom
"R6","470","R_0805_2012Metric",104.470200,-109.219100,90.000000,bottom
"R7","6R8-5%","R_0805_2012Metric",101.676200,-131.814600,-90.000000,bottom
"R13","470","R_0805_2012Metric",91.897200,-120.130600,180.000000,bottom
"R14","470","R_0805_2012Metric",91.897200,-124.575600,180.000000,bottom
"R17","470","R_0805_2012Metric",91.770200,-129.147600,180.000000,bottom
"R18","470","R_0805_2012Metric",91.804200,-133.658600,180.000000,bottom
"R21","6R8-5%","R_0805_2012Metric",107.518200,-116.828600,-90.000000,bottom
"R27","10K","R_0805_2012Metric",123.393200,-134.608600,180.000000,bottom
"R28","470","R_0805_2012Metric",119.202200,-138.799600,0.000000,bottom
"R30","10K","R_0805_2012Metric",95.834200,-148.705600,180.000000,bottom
"R31","10K","R_0805_2012Metric",99.390200,-148.705600,0.000000,bottom
"R47","1K5-1%","R_0805_2012Metric",118.567200,-127.750600,90.000000,bottom
"R48","1K8-1%","R_0805_2012Metric",120.853200,-124.067600,-90.000000,bottom
"R49","11-1%","R_0805_2012Metric",120.853200,-127.750600,-90.000000,bottom
"R50","1K5-1%","R_0805_2012Metric",120.853200,-131.433600,-90.000000,bottom
"R51","1K8-1%","R_0805_2012Metric",124.155200,-124.067600,-90.000000,bottom
"R52","11-1%","R_0805_2012Metric",124.155200,-127.750600,-90.000000,bottom
"R53","1K5-1%","R_0805_2012Metric",124.155200,-131.433600,-90.000000,bottom
"R54","10K","R_0805_2012Metric",115.646200,-110.859600,90.000000,bottom
"R55","10K","R_0805_2012Metric",115.646200,-114.923600,-90.000000,bottom
"R61","120","R_0805_2012Metric",106.959400,-125.337600,135.000000,bottom
"R62","120","R_0805_2012Metric",113.665000,-125.388400,135.000000,bottom
"R63","120","R_0805_2012Metric",106.959400,-132.094000,135.000000,bottom
"R64","120","R_0805_2012Metric",113.715800,-132.094000,135.000000,bottom
"SW1","Button Edge EVQ-P7J01P","SMD4_SW_EVQP7J_PAN",124.155200,-143.518201,-90.000000,bottom
"U7","SSP9193-33M5R","SOT-23-5",118.694200,-151.880600,0.000000,bottom
"U9","LM393","SOIC-8_W3.9mm",121.488200,-115.177600,-90.000000,bottom
"U10","SN74HC02DR","SOIC-14_3.9x8.7mm_P1.27mm",96.596200,-109.843600,-90.000000,bottom
"U11","MCP23017_SS","SSOP-28_5.3x10.2mm_P0.65mm",93.675200,-141.974600,180.000000,bottom
